"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4081","Rapid clicking test","","Mon Jun 09 12:36:48 GMT 2025","passed","Mon Jun 09 12:36:52 GMT 2025","Counter Functionality","tests/specs/counter.spec.js","",""
"","1222","Token is removed from localStorage after logout","","Mon Jun 09 12:36:59 GMT 2025","passed","Mon Jun 09 12:37:00 GMT 2025","LocalStorage Functionality","tests/specs/storage.spec.js","",""
"","999","Successful login","","Mon Jun 09 12:37:04 GMT 2025","passed","Mon Jun 09 12:37:05 GMT 2025","Login Functionality","tests/specs/login.spec.js","",""
"","763","Stay on home page if token is present","","Mon Jun 09 12:37:01 GMT 2025","passed","Mon Jun 09 12:37:02 GMT 2025","LocalStorage Functionality","tests/specs/storage.spec.js","",""
"","562","Unsuccessful login with incorrect password","","Mon Jun 09 12:37:05 GMT 2025","passed","Mon Jun 09 12:37:06 GMT 2025","Login Functionality","tests/specs/login.spec.js","",""
"","883","Redirect to login if token is not present","","Mon Jun 09 12:37:00 GMT 2025","passed","Mon Jun 09 12:37:01 GMT 2025","LocalStorage Functionality","tests/specs/storage.spec.js","",""
"","1538","Logout from home page","","Mon Jun 09 12:36:54 GMT 2025","passed","Mon Jun 09 12:36:56 GMT 2025","Logout Functionality","tests/specs/logout.spec.js","",""
"","902","Increment, decrement, and reset counter","","Mon Jun 09 12:36:44 GMT 2025","passed","Mon Jun 09 12:36:44 GMT 2025","Counter Functionality","tests/specs/counter.spec.js","",""
"","1196","Token is stored in localStorage after successful login","","Mon Jun 09 12:36:58 GMT 2025","passed","Mon Jun 09 12:36:59 GMT 2025","LocalStorage Functionality","tests/specs/storage.spec.js","",""
"","536","Unsuccessful login with non-existent email","","Mon Jun 09 12:37:06 GMT 2025","passed","Mon Jun 09 12:37:06 GMT 2025","Login Functionality","tests/specs/login.spec.js","",""
"","572","Unsuccessful login with empty fields","","Mon Jun 09 12:37:06 GMT 2025","passed","Mon Jun 09 12:37:07 GMT 2025","Login Functionality","tests/specs/login.spec.js","",""
